,City Name,Month -Year,Monthly mean/average concentration - PM2.5,Monthly mean concentration - PM10,Monthly mean concentration - NO2,Monthly mean concentration - SO2,Monthly mean concentration - O3,year
0,Varanasi,Dec-18,206.41,310.57,76.45,10.72,34.35,2018
1,Varanasi,Nov-18,177.0,322.0,66.2,11.7,36.5,2018
2,Varanasi,Oct-18,91.0,221.0,44.4,7.2,20.3,2018
3,Varanasi,Sep-18,47.0,116.0,17.3,5.4,32.9,2018
4,Varanasi,Aug-18,37.0,80.0,14.0,5.7,23.6,2018
5,Varanasi,Jul-18,35.0,68.0,19.6,6.7,20.7,2018
6,Varanasi,Jun-18,62.0,159.0,21.4,9.7,32.8,2018
7,Varanasi,May-18,67.0,181.0,29.7,10.1,29.3,2018
8,Varanasi,Apr-18,71.0,226.0,52.1,11.5,26.1,2018
9,Varanasi,Mar-18,100.0,249.0,58.0,12.9,16.2,2018
10,Varanasi,Feb-18,118.0,216.0,69.9,11.2,11.8,2018
11,Varanasi,Jan-18,134.0,297.0,73.5,9.1,12.8,2018
