stn_code,year-month,so2,no2,rspm,spm,pm2_5
1.0,1987-01,9.657142857142857,15.642857142857142,,303.57142857142856,
1.0,1987-02,15.375,22.175,,277.25,
1.0,1987-05,10.9,30.7,,152.0,
1.0,1988-01,13.86,17.720000000000002,,297.6,
1.0,1988-02,6.4,10.95,,488.5,
1.0,1988-08,3.7,7.6,,68.0,
1.0,1988-09,4.9,6.4,,147.0,
1.0,1988-12,19.2,9.3,,352.0,
1.0,1989-01,22.6,11.0,,363.0,
1.0,1989-02,27.0,13.2,,512.0,
1.0,1989-03,28.6,15.2,,569.0,
1.0,1989-04,4.9,4.2,,391.0,
1.0,1989-05,9.1,8.6,,293.0,
1.0,1989-07,7.1,5.0,,306.0,
1.0,1989-08,8.9,6.6,,532.0,
1.0,1989-12,30.3,13.2,,479.0,
1.0,1990-01,22.2,13.9,,344.0,
1.0,1990-02,25.5,27.1,,365.0,
1.0,1990-03,18.7,18.1,,318.0,
1.0,1990-04,21.7,8.9,,385.0,
1.0,1990-06,14.3,6.9,,348.0,
1.0,1990-07,17.6,10.0,,333.0,
1.0,1990-08,13.3,7.8,,323.0,
1.0,1990-09,19.9,10.2,,414.0,
1.0,1990-10,35.0,12.9,,645.0,
1.0,1990-11,25.6,11.6,,601.0,
1.0,1990-12,28.7,9.5,,790.0,
1.0,1991-01,30.1,12.0,,729.0,
1.0,1991-02,22.5,12.2,,651.0,
1.0,1991-03,20.5,11.2,,446.0,
1.0,1991-04,17.4,10.3,,448.0,
1.0,1991-05,12.5,7.4,,381.0,
1.0,1991-06,11.6,6.8,,358.0,
1.0,1991-07,13.2,7.9,,390.0,
1.0,1991-08,17.8,11.4,,405.0,
1.0,1991-09,20.2,12.9,,454.0,
1.0,1991-10,21.2,12.6,,483.0,
1.0,1991-11,26.4,14.5,,673.0,
1.0,1991-12,35.6,20.2,,826.0,
1.0,1992-04,21.4,13.3,,549.0,
1.0,1993-01,40.6,15.2,,,
1.0,1993-02,33.1,12.5,,,
1.0,1993-03,29.9,10.7,,,
1.0,1993-04,18.3,6.6,,,
1.0,1993-05,20.1,7.9,,,
1.0,1993-06,22.4,8.1,,470.0,
1.0,1993-07,28.9,7.9,,277.0,
1.0,1993-08,19.6,14.8,,322.0,
1.0,1993-09,19.0,12.5,,443.0,
1.0,1993-10,17.0,12.5,,455.0,
1.0,1993-11,19.7,12.5,,392.0,
1.0,1994-01,19.5,14.8,,543.0,
1.0,1994-02,28.9,9.2,,525.0,
1.0,1994-03,22.6,7.4,,464.0,
1.0,1994-04,27.6,10.0,,380.0,
1.0,1994-05,23.5,10.0,,391.0,
1.0,1994-06,20.3,10.4,,345.0,
1.0,1994-07,16.2,8.2,,298.0,
1.0,1994-08,12.2,5.2,,175.0,
1.0,1994-09,15.5,7.0,,223.0,
1.0,1994-11,20.8,13.5,,358.0,
1.0,1994-12,34.8,16.8,,439.0,
1.0,1995-01,34.2,17.9,,810.0,
1.0,1995-02,24.5,17.1,,622.0,
1.0,1995-03,20.1,13.5,,460.0,
1.0,1995-04,18.1,11.3,,397.0,
1.0,1995-05,16.1,9.3,,380.0,
1.0,1995-06,12.6,7.1,,380.0,
1.0,1995-07,12.3,5.4,,314.0,
1.0,1995-08,11.4,5.2,,221.0,
1.0,1995-09,14.8,7.7,,270.0,
1.0,1996-01,30.5,18.3,,849.0,
1.0,1996-02,23.1,18.2,,606.0,
1.0,1996-03,17.1,14.8,,436.0,
1.0,1996-04,15.6,11.3,,406.0,
1.0,1996-05,15.4,11.9,,410.0,
1.0,1996-06,12.8,9.6,,404.0,
1.0,1996-07,13.6,10.9,,346.0,
1.0,1996-08,9.5,8.2,,267.0,
1.0,1996-09,12.5,10.6,,329.0,
1.0,1996-10,17.7,14.9,,390.0,
1.0,1996-11,19.9,17.0,,517.0,
1.0,1996-12,21.1,19.6,,779.0,
1.0,1997-01,21.1,18.6,,650.0,
1.0,1997-02,16.3,15.3,,630.0,
1.0,1997-03,13.8,13.7,,321.0,
1.0,1997-04,13.4,11.9,,356.0,
1.0,1997-05,11.7,10.3,,355.0,
1.0,1997-06,11.2,9.6,,321.0,
1.0,1997-07,11.1,8.9,,314.0,
1.0,1997-08,9.4,8.2,,205.0,
1.0,1997-09,10.7,8.7,,234.0,
1.0,1997-10,13.3,11.7,,301.0,
1.0,1997-11,15.8,13.4,,350.0,
1.0,1997-12,17.9,15.1,,581.0,
1.0,1998-01,16.8,14.8,,769.0,
1.0,1998-02,14.0,12.7,,585.0,
1.0,1998-03,12.1,11.5,,500.0,
1.0,1998-04,11.6,10.7,,538.0,
1.0,1998-05,9.9,9.2,,507.0,
1.0,1998-06,10.7,9.6,,520.0,
1.0,1998-07,9.5,8.1,,303.0,
1.0,1998-08,9.8,8.7,,304.0,
1.0,1998-09,10.6,9.1,,424.0,
1.0,1998-10,11.8,10.6,,437.0,
1.0,1998-11,13.3,11.9,,501.0,
1.0,1998-12,14.2,12.4,,670.0,
1.0,1999-01,15.4,13.4,,821.0,
1.0,1999-02,12.6,10.9,,495.0,
1.0,1999-03,11.0,10.2,,434.0,
1.0,1999-04,10.2,9.5,,405.0,
1.0,1999-05,9.7,8.8,,438.0,
1.0,1999-06,8.7,8.1,,361.0,
1.0,1999-07,7.9,7.4,,325.0,
1.0,1999-08,7.8,7.0,,222.0,
1.0,1999-09,9.7,8.6,,352.0,
1.0,1999-10,10.6,9.6,,313.0,
1.0,1999-11,12.4,12.0,,456.0,
1.0,1999-12,12.5,10.9,,400.0,
1.0,2000-01,9.6,8.7,,384.0,
1.0,2000-02,10.9,9.9,,371.0,
1.0,2000-03,10.5,9.7,,288.0,
1.0,2000-04,10.7,9.9,,307.0,
1.0,2000-05,9.6,8.5,,322.0,
1.0,2000-06,8.1,7.3,,308.0,
1.0,2000-07,7.9,7.3,,301.0,
1.0,2000-08,8.8,7.5,,266.0,
1.0,2000-09,8.8,8.3,,288.0,
1.0,2000-10,10.8,10.1,,363.0,
1.0,2000-11,13.2,11.6,,378.0,
1.0,2000-12,13.5,11.7,,439.0,
1.0,2001-01,13.1,11.8,,578.0,
1.0,2001-02,12.0,11.2,,533.0,
1.0,2001-03,10.8,9.2,,444.0,
1.0,2001-04,11.2,9.2,,310.0,
1.0,2001-05,10.4,8.4,,344.0,
1.0,2001-06,9.5,7.6,,230.0,
1.0,2001-07,8.2,7.3,,164.0,
1.0,2001-08,8.8,7.1,,197.0,
1.0,2001-09,10.1,8.1,,250.0,
1.0,2001-10,10.9,9.3,,286.0,
1.0,2001-12,9.9,8.6,,279.0,
1.0,2011-01,3.8260869565217392,26.47826086956522,186.3913043478261,,
1.0,2011-02,3.2,17.9,124.6,,
1.0,2011-03,3.2962962962962963,20.037037037037038,165.14814814814815,,
1.0,2011-04,2.9523809523809526,19.142857142857142,153.14285714285714,,
1.0,2011-05,2.9545454545454546,16.772727272727273,139.4090909090909,,
1.0,2011-06,2.9130434782608696,12.304347826086957,66.78260869565217,,
1.0,2011-07,2.227272727272727,10.681818181818182,63.36363636363637,,
1.0,2011-08,2.1739130434782608,10.0,67.65217391304348,,
1.0,2011-09,2.32,14.32,91.28,,
1.0,2011-10,2.875,22.125,161.14285714285714,,
1.0,2011-11,3.375,24.541666666666668,209.0,,
1.0,2011-12,3.772727272727273,27.347826086956523,275.69565217391306,,
2.0,1987-01,5.2,3.8,,294.0,
2.0,1987-02,8.15,4.9,,354.0,
2.0,1987-03,8.975,4.933333333333333,,534.75,
2.0,1987-07,5.2,3.8,,400.0,
2.0,1987-09,14.8,,,373.0,
2.0,1988-01,10.2,4.0,,189.5,
2.0,1988-02,26.25,11.85,,502.5,
2.0,1988-03,14.76,8.1,,613.4,
2.0,1989-01,7.4,5.2,,397.0,
2.0,1989-02,12.4,8.1,,408.0,
2.0,1989-03,6.8,5.5,,437.0,
2.0,1989-04,5.4,4.1,,290.0,
2.0,1989-05,9.1,3.5,,360.0,
2.0,1989-06,6.2,4.1,,247.0,
2.0,1989-07,7.2,4.5,,274.0,
2.0,1989-08,5.7,3.4,,289.0,
2.0,1989-09,10.4,6.7,,273.0,
2.0,1989-12,25.8,11.0,,510.0,
2.0,1990-01,22.4,12.3,,552.0,
2.0,1990-02,18.8,11.0,,426.0,
2.0,1990-03,26.1,7.2,,509.0,
2.0,1990-07,8.4,6.7,,293.0,
2.0,1990-09,17.8,11.8,,359.0,
2.0,1990-10,23.2,12.6,,465.0,
2.0,1990-11,21.6,13.7,,610.0,
2.0,1990-12,24.6,13.0,,779.0,
2.0,1991-01,25.3,14.4,,659.0,
2.0,1991-02,21.2,14.3,,513.0,
2.0,1991-03,18.8,13.3,,524.0,
2.0,1991-04,16.5,11.4,,484.0,
2.0,1991-05,11.1,11.5,,392.0,
2.0,1991-06,,,,368.0,
2.0,1991-07,8.8,12.2,,369.0,
2.0,1991-08,11.6,9.3,,388.0,
2.0,1995-01,,,,,
2.0,1995-02,,,,,
2.0,1995-03,,,,,
2.0,1995-04,,,,,
2.0,1995-05,,,,,
2.0,1995-06,,,,,
2.0,1995-07,,,,,
2.0,1995-08,,,,,
2.0,1995-09,,,,,
2.0,1996-09,12.1,9.9,,313.0,
2.0,1996-10,13.3,11.8,,386.0,
2.0,1996-11,18.8,14.2,,662.0,
2.0,1996-12,20.3,19.3,,694.0,
2.0,1997-01,21.5,18.3,,490.0,
2.0,1997-02,14.3,13.9,,495.0,
2.0,1997-03,12.2,11.8,,466.0,
2.0,1997-04,11.8,10.7,,476.0,
2.0,1997-05,11.7,9.7,,419.0,
2.0,1997-06,10.6,8.6,,401.0,
2.0,1997-07,,,,184.0,
2.0,1997-08,,,,115.0,
2.0,1997-09,7.2,5.8,,159.0,
2.0,1997-10,9.9,8.8,,175.0,
2.0,1997-11,13.6,12.6,,261.0,
2.0,1997-12,12.8,12.4,,268.0,
2.0,1998-01,12.8,11.8,,510.0,
2.0,1998-02,9.0,9.3,,706.0,
2.0,1998-03,11.3,9.7,,519.0,
2.0,1998-04,9.8,8.8,,561.0,
2.0,1998-05,,,,575.0,
2.0,1998-08,,,,289.0,
2.0,1998-09,6.9,6.0,,382.0,
2.0,1998-10,9.3,8.1,,494.0,
2.0,1998-11,10.8,8.5,,443.0,
2.0,1998-12,,,,588.0,
2.0,1999-01,,,,338.0,
2.0,1999-02,10.8,10.0,,273.0,
2.0,1999-03,,,,306.0,
2.0,1999-04,8.5,6.3,,313.0,
2.0,1999-05,6.9,6.5,,302.0,
2.0,1999-06,7.0,5.8,,266.0,
2.0,1999-07,6.0,6.0,,203.0,
2.0,1999-08,,,,153.0,
2.0,1999-09,,,,145.0,
2.0,1999-10,,,,287.0,
2.0,1999-11,6.5,6.3,,278.0,
2.0,1999-12,9.3,8.5,,289.0,
2.0,2000-01,8.8,7.3,,287.0,
2.0,2000-02,,,,296.0,
2.0,2000-03,6.8,7.0,,314.0,
2.0,2000-04,,,,388.0,
2.0,2000-05,5.7,5.4,,302.0,
2.0,2000-06,5.9,5.9,,348.0,
2.0,2000-07,6.6,6.3,,317.0,
2.0,2000-08,6.2,5.9,,310.0,
2.0,2000-09,6.4,5.8,,291.0,
2.0,2000-10,9.6,8.9,,405.0,
2.0,2000-11,10.9,9.9,,458.0,
2.0,2000-12,9.9,9.1,,438.0,
2.0,2001-01,10.0,9.7,,597.0,
2.0,2001-02,10.6,9.0,,615.0,
2.0,2001-03,14.1,12.2,,670.0,
2.0,2001-04,9.9,7.4,,474.0,
2.0,2001-05,9.7,8.0,,584.0,
2.0,2001-06,10.1,9.0,,490.0,
2.0,2001-07,10.5,9.2,,173.0,
2.0,2001-08,11.5,9.9,,372.0,
2.0,2001-09,12.6,11.2,,392.0,
2.0,2001-10,12.2,11.0,,439.0,
2.0,2002-06,6.3,10.0,,271.0,
2.0,2002-07,6.3,10.0,,382.0,
2.0,2002-08,6.1,11.8,,162.0,
2.0,2002-09,4.7,12.1,,178.0,
2.0,2002-10,5.6,11.8,,348.0,
2.0,2002-11,5.0,11.2,,364.0,
2.0,2002-12,6.3,11.3,,514.0,
3.0,1987-01,9.633333333333333,,,312.0,
3.0,1987-02,5.0,3.3,,287.0,
3.0,1987-03,8.6,5.066666666666666,,316.3333333333333,
3.0,1987-05,6.8,4.8,,253.0,
3.0,1987-07,13.9,9.0,,413.0,
3.0,1987-08,4.8,4.0,,155.0,
3.0,1987-11,6.1,4.3,,401.0,
3.0,1988-01,23.8,13.333333333333334,,535.6666666666666,
3.0,1988-02,7.15,4.2,,256.5,
3.0,1988-03,7.6,5.8,,806.0,
3.0,1988-04,14.666666666666666,8.133333333333333,,522.6666666666666,
3.0,1988-06,8.1,4.9,,109.0,
3.0,1989-01,8.7,4.9,,336.0,
3.0,1989-02,5.6,3.8,,310.0,
3.0,1989-03,7.9,5.7,,441.0,
3.0,1989-04,6.6,3.2,,418.0,
3.0,1989-05,9.0,3.3,,398.0,
3.0,1989-06,5.3,3.8,,252.0,
3.0,1989-07,8.3,6.2,,254.0,
3.0,1989-08,6.9,3.3,,250.0,
3.0,1989-09,9.8,4.4,,246.0,
3.0,1989-12,24.8,11.7,,543.0,
3.0,1990-01,25.1,13.9,,485.0,
3.0,1990-02,25.1,12.8,,568.0,
3.0,1990-03,25.4,8.9,,471.0,
3.0,1990-07,9.5,6.6,,310.0,
3.0,1990-09,26.2,15.9,,375.0,
3.0,1990-10,18.3,10.2,,413.0,
3.0,1990-11,28.1,14.6,,573.0,
3.0,1990-12,32.0,17.9,,693.0,
3.0,1991-01,29.5,15.9,,653.0,
3.0,1991-02,21.1,14.1,,514.0,
3.0,1991-03,15.5,11.9,,484.0,
3.0,1991-04,11.1,8.6,,463.0,
3.0,1991-05,12.4,9.7,,417.0,
3.0,1991-06,,,,366.0,
3.0,1991-07,12.1,9.0,,415.0,
3.0,1991-08,12.9,9.5,,368.0,
3.0,1992-05,,,,236.0,
3.0,1995-05,,,,,
3.0,1995-06,,,,,
3.0,1995-07,,,,,
3.0,1995-08,,,,,
3.0,1995-09,,,,,
3.0,1996-09,23.7,21.8,,434.0,
3.0,1996-10,24.0,21.6,,533.0,
3.0,1996-11,27.0,21.9,,678.0,
3.0,1996-12,26.6,25.4,,956.0,
3.0,1997-01,24.8,22.2,,855.0,
3.0,1997-02,14.4,13.5,,556.0,
3.0,1997-03,,,,423.0,
3.0,1997-04,16.3,16.2,,666.0,
3.0,1997-05,20.1,18.2,,616.0,
3.0,1997-06,22.5,21.4,,472.0,
3.0,1997-07,21.3,16.5,,255.0,
3.0,1997-08,,,,192.0,
3.0,1997-09,13.6,13.5,,225.0,
3.0,1997-10,,,,267.0,
3.0,1997-11,,,,367.0,
3.0,1997-12,,,,870.0,
3.0,1998-01,26.8,21.8,,949.0,
3.0,1998-02,25.8,25.3,,1006.0,
3.0,1998-03,18.0,14.3,,665.0,
3.0,1998-04,35.8,27.0,,654.0,
3.0,1998-05,,,,791.0,
3.0,1998-08,16.3,11.5,,520.0,
3.0,1998-09,,,,653.0,
3.0,1999-01,,,,864.0,
3.0,1999-02,,,,493.0,
3.0,1999-03,,,,433.0,
3.0,1999-04,,,,512.0,
3.0,1999-05,,,,464.0,
3.0,1999-06,,,,540.0,
3.0,1999-07,,,,235.0,
3.0,1999-08,,,,291.0,
3.0,1999-09,,,,518.0,
3.0,1999-10,,,,424.0,
3.0,1999-11,,,,507.0,
3.0,2000-01,,,,396.0,
3.0,2000-02,,,,405.0,
3.0,2000-03,,,,348.0,
3.0,2000-04,,,,348.0,
3.0,2000-05,,,,314.0,
3.0,2000-06,,,,399.0,
3.0,2000-07,,,,305.0,
3.0,2000-09,,,,380.0,
3.0,2000-10,,,,400.0,
3.0,2000-11,,,,439.0,
3.0,2000-12,,,,489.0,
3.0,2001-01,,,,411.0,
3.0,2001-02,,,,425.0,
3.0,2001-03,,,,393.0,
3.0,2001-04,,,,313.0,
3.0,2001-05,,,,378.0,
3.0,2001-06,,,,77.0,
3.0,2002-07,8.0,11.2,,305.0,
3.0,2002-08,4.3,10.0,,206.0,
3.0,2002-09,4.7,11.8,,284.0,
3.0,2002-10,4.3,11.1,,576.0,
3.0,2002-11,5.4,11.0,,477.0,
3.0,2002-12,4.6,11.4,,619.0,
4.0,1987-01,8.1,4.425,,333.0,
4.0,1987-02,9.7,5.85,,290.6,
4.0,1987-03,5.6,4.2,,207.0,
4.0,1987-06,10.5,6.5,,304.0,
4.0,1988-01,13.7,11.85,,283.5,
4.0,1988-02,17.6,16.1,,631.0,
4.0,1988-03,11.85,6.949999999999999,,473.0,
4.0,1988-04,38.5,12.6,,438.0,
4.0,1988-05,6.3,8.4,,319.0,
4.0,1988-06,7.4,3.8,,111.0,
4.0,1989-01,10.1,6.0,,308.0,
4.0,1989-02,6.1,4.0,,290.0,
4.0,1989-03,6.6,5.6,,329.0,
4.0,1989-04,5.1,3.6,,394.0,
4.0,1989-05,7.0,3.0,,352.0,
4.0,1989-06,6.7,4.0,,283.0,
4.0,1989-07,5.1,3.9,,225.0,
4.0,1989-08,5.9,3.1,,194.0,
4.0,1989-09,7.2,4.4,,232.0,
4.0,1989-12,23.4,9.7,,530.0,
4.0,1990-01,17.3,11.1,,473.0,
4.0,1990-02,22.7,9.6,,378.0,
5.0,1987-01,,,,143.0,
5.0,1988-01,,7.5,,360.0,
5.0,1988-07,,,,511.0,
6.0,1987-01,18.4,26.7,,231.0,
6.0,1987-02,,,,576.0,
6.0,1987-04,,,,487.0,
6.0,1987-05,35.4,35.0,,441.0,
6.0,1988-01,40.2,37.6,,358.0,
6.0,1988-02,58.4,32.45,,273.3333333333333,
6.0,1988-05,45.849999999999994,40.0,,430.0,
6.0,1988-07,,,,198.0,
6.0,1988-08,,,,175.0,
6.0,1989-01,65.0,29.3,,312.0,
6.0,1989-02,44.2,29.0,,289.0,
6.0,1989-03,47.4,38.8,,300.0,
6.0,1989-04,57.2,31.0,,297.0,
6.0,1989-05,48.5,26.0,,290.0,
6.0,1989-06,34.0,20.5,,228.0,
6.0,1989-07,33.4,29.2,,127.0,
6.0,1989-08,31.6,27.7,,176.0,
6.0,1989-09,36.7,34.6,,132.0,
6.0,1989-12,52.4,49.3,,251.0,
6.0,1990-01,34.5,30.3,,224.0,
6.0,1990-02,35.2,38.7,,228.0,
6.0,1990-03,32.4,27.9,,212.0,
6.0,1990-04,39.3,25.2,,352.0,
6.0,1990-05,34.3,35.7,,228.0,
6.0,1990-07,29.0,30.5,,131.0,
6.0,1990-08,28.9,29.8,,174.0,
6.0,1990-09,29.5,37.7,,122.0,
6.0,1990-11,46.8,41.4,,202.0,
6.0,1990-12,51.1,43.3,,202.0,
6.0,1991-01,49.5,42.6,,216.0,
6.0,1991-02,48.8,42.9,,235.0,
6.0,1991-03,52.9,50.5,,246.0,
6.0,1991-04,45.7,42.7,,308.0,
6.0,1991-05,40.5,39.0,,408.0,
6.0,1991-06,32.6,32.2,,159.0,
6.0,1991-07,45.2,41.9,,169.0,
6.0,1991-11,,,,277.0,
6.0,1993-08,,,,194.0,
6.0,1994-09,,,,391.0,
6.0,1995-01,,,,,
6.0,1995-02,,,,,
6.0,1995-03,44.0,45.8,,197.0,
6.0,1995-04,55.3,50.0,,229.0,
6.0,1995-05,51.5,50.9,,301.0,
6.0,1995-06,40.7,45.2,,220.0,
6.0,1995-07,38.9,46.3,,117.0,
6.0,1995-08,35.0,28.6,,94.0,
6.0,1995-09,40.9,31.9,,82.0,
6.0,1995-10,46.0,45.4,,184.0,
6.0,1995-11,57.8,61.4,,206.0,
6.0,1995-12,55.4,55.0,,163.0,
6.0,1996-01,54.1,56.4,,185.0,
6.0,1996-02,54.5,53.8,,241.0,
6.0,1996-03,44.7,46.1,,242.0,
6.0,1996-04,42.6,45.4,,264.0,
6.0,1996-05,41.4,44.4,,310.0,
6.0,1996-06,47.1,53.1,,238.0,
6.0,1996-07,27.9,31.9,,183.0,
6.0,1996-08,28.4,32.1,,107.0,
6.0,1996-09,37.8,41.6,,167.0,
6.0,1996-10,47.6,48.4,,237.0,
6.0,1996-11,51.2,51.8,,271.0,
6.0,1996-12,66.3,64.2,,324.0,
6.0,1997-01,73.9,68.2,,377.0,
6.0,1997-02,56.8,54.0,,355.0,
6.0,1997-03,56.5,56.9,,395.0,
6.0,1997-04,59.5,55.5,,271.0,
6.0,1997-05,56.1,54.8,,272.0,
6.0,1997-06,45.0,46.7,,277.0,
6.0,1997-07,44.4,47.0,,275.0,
6.0,1997-08,39.4,41.9,,170.0,
6.0,1997-09,44.0,49.3,,193.0,
6.0,1997-10,51.9,54.6,,248.0,
6.0,1997-11,55.4,60.1,,290.0,
6.0,1997-12,64.7,63.5,,237.0,
6.0,1998-01,69.5,66.1,,281.0,
6.0,1998-02,67.5,66.1,,235.0,
6.0,1998-03,56.3,59.5,,370.0,
6.0,1998-04,55.5,56.6,,260.0,
6.0,1998-05,54.3,58.0,,303.0,
6.0,1998-06,55.2,59.4,,271.0,
6.0,1998-07,50.0,56.2,,195.0,
6.0,1998-08,50.9,56.7,,181.0,
6.0,1998-09,50.2,55.7,,207.0,
6.0,1998-11,60.2,63.0,,226.0,
6.0,1998-12,67.5,65.7,,231.0,
6.0,1999-01,63.2,63.1,,373.0,
6.0,1999-02,63.1,62.4,,338.0,
6.0,1999-03,63.1,63.6,,373.0,
6.0,1999-05,59.6,61.5,,384.0,
6.0,1999-06,60.8,63.0,,243.0,
6.0,1999-07,52.1,58.3,,206.0,
6.0,1999-08,48.4,55.3,,179.0,
6.0,1999-09,51.7,57.8,,153.0,
6.0,1999-11,63.8,66.1,,259.0,
6.0,1999-12,66.9,67.1,,243.0,
6.0,2000-02,64.6,66.8,,257.0,
6.0,2000-03,66.6,68.3,,191.0,
6.0,2000-04,61.5,64.8,,193.0,
6.0,2000-05,65.8,69.6,,251.0,
6.0,2000-08,57.4,62.9,,122.0,
6.0,2000-10,65.8,68.0,,204.0,
6.0,2000-11,65.3,67.8,,210.0,
6.0,2000-12,70.3,72.7,,241.0,
6.0,2001-01,68.4,71.3,,307.0,
6.0,2001-02,70.4,73.1,,317.0,
6.0,2001-03,58.9,65.0,,286.0,
6.0,2001-04,62.7,66.7,,316.0,
6.0,2001-05,56.0,59.6,,349.0,
6.0,2001-06,50.2,58.5,,231.0,
6.0,2001-07,38.1,47.0,,128.0,
6.0,2001-08,38.4,47.3,,157.0,
6.0,2001-09,44.5,52.1,,204.0,
6.0,2001-10,42.1,50.4,,236.0,
6.0,2001-11,50.5,59.4,,300.0,
6.0,2001-12,59.3,65.3,,357.0,
6.0,2002-01,56.0,61.4,,317.0,
6.0,2002-02,49.4,56.4,,269.0,
6.0,2002-03,31.5,52.7,,390.0,
6.0,2002-04,36.2,40.1,,357.0,
6.0,2002-05,24.1,37.7,,351.0,
6.0,2002-06,21.8,37.2,,297.0,
6.0,2002-07,23.2,37.9,,289.0,
6.0,2002-08,24.9,39.8,,193.0,
6.0,2002-09,22.1,36.5,,176.0,
6.0,2002-10,23.7,34.2,,205.0,
6.0,2002-11,24.0,34.5,,351.0,
6.0,2002-12,23.8,36.2,,421.0,
6.0,2004-01,21.583333333333332,36.900000000000006,192.33333333333334,300.1666666666667,
6.0,2004-02,19.0,31.259999999999998,148.7,284.5,
6.0,2004-03,19.825,32.099999999999994,170.375,331.125,
6.0,2004-04,18.18,29.440000000000005,130.9,281.4,
6.0,2004-05,17.2875,27.187499999999996,102.75,216.5,
6.0,2004-06,17.21,26.55,115.0,225.0,
6.0,2004-07,15.322222222222223,23.67777777777778,91.66666666666667,197.44444444444446,
6.0,2004-08,15.922222222222224,24.42222222222222,94.66666666666667,187.44444444444446,
6.0,2004-09,16.85,27.54,117.9,265.1,
6.0,2004-10,17.4,28.7625,117.0,250.875,
6.0,2004-11,18.962500000000002,32.824999999999996,166.5,362.75,
6.0,2004-12,20.81111111111111,32.91111111111111,183.44444444444446,382.44444444444446,
6.0,2010-01,19.057333334,32.920666663999995,135.06666667999997,267.53333334,
6.0,2010-02,17.339242424545454,28.777575758181822,123.45454544545454,244.03030302727274,
6.0,2010-03,17.38742857142857,28.75447619,124.28571428571429,248.23809524285713,
6.0,2010-04,17.40000000090909,28.056515152727272,125.3030303,250.8181818181818,
6.0,2010-05,17.40896296444444,27.39825926,123.92592593333335,247.96296296666665,
6.0,2010-06,16.772708333749996,26.4747916675,125.62499998749999,250.20833334999998,
6.0,2010-07,16.24370370333333,25.459925926666664,118.59259258888889,228.33333332222224,
6.0,2010-08,15.487,29.887,156.06666668,216.4,
6.0,2010-09,17.571666666153842,27.61974359,121.76923077692307,236.20512820000002,
6.0,2010-10,17.093611109999998,27.290555553333334,130.3888888666667,259.6111111333333,
6.0,2010-11,17.817681818181818,28.312393939999996,127.24242423636365,255.99999999090912,
6.0,2010-12,17.597037037777778,28.797592593333334,139.77777776666667,275.29629631111106,
6.0,2011-01,17.0,27.6,152.4,,
6.0,2011-02,16.272727272727273,25.90909090909091,126.9090909090909,,
6.0,2011-03,16.0,26.333333333333332,140.83333333333334,,
6.0,2011-04,15.909090909090908,25.181818181818183,137.45454545454547,,
6.0,2011-05,15.625,25.25,203.25,,
6.0,2011-06,15.2,24.3,126.3,,
6.0,2011-07,15.25,24.875,134.375,,
6.0,2011-08,14.5,22.833333333333332,119.66666666666667,,
6.0,2011-09,15.5,24.916666666666668,128.58333333333334,,
6.0,2011-10,17.333333333333332,26.333333333333332,136.33333333333334,,
6.0,2011-11,17.363636363636363,32.45454545454545,142.36363636363637,,
6.0,2011-12,17.555555555555557,28.555555555555557,140.11111111111111,,
7.0,1987-01,32.49999999999999,33.25,,528.75,
7.0,1987-02,37.2,48.15,,462.5,
7.0,1987-03,23.3,30.0,,254.0,
7.0,1987-04,42.5,51.4,,499.0,
7.0,1987-12,68.9,39.7,,648.0,
7.0,1988-01,68.0,44.3,,636.0,
7.0,1988-02,54.62499999999999,36.599999999999994,,401.4,
7.0,1988-04,36.1,34.9,,642.0,
7.0,1988-05,35.15,40.599999999999994,,514.5,
7.0,1988-06,33.2,33.7,,371.0,
7.0,1988-08,,,,201.0,
7.0,1988-11,,,,221.0,
7.0,1989-01,60.0,33.9,,365.0,
7.0,1989-02,62.5,40.1,,430.0,
7.0,1989-03,52.8,38.8,,410.0,
7.0,1989-04,61.6,32.6,,504.0,
7.0,1989-05,56.9,28.7,,519.0,
7.0,1989-06,35.7,21.7,,296.0,
7.0,1989-07,42.6,41.9,,178.0,
7.0,1989-08,35.4,30.9,,163.0,
7.0,1989-09,39.9,27.2,,141.0,
7.0,1989-12,57.6,47.3,,422.0,
7.0,1990-01,37.4,34.0,,323.0,
7.0,1990-02,39.9,42.9,,269.0,
7.0,1990-03,33.4,30.5,,271.0,
7.0,1990-04,45.8,27.3,,378.0,
7.0,1990-05,36.9,35.5,,278.0,
7.0,1990-06,30.1,33.9,,194.0,
7.0,1990-07,26.1,27.1,,116.0,
7.0,1990-08,28.5,29.3,,139.0,
7.0,1990-09,31.3,39.7,,132.0,
7.0,1990-10,45.6,46.9,,222.0,
7.0,1990-11,37.8,40.3,,264.0,
7.0,1990-12,51.4,44.6,,269.0,
7.0,1991-01,52.4,45.9,,252.0,
7.0,1991-02,52.1,45.5,,540.0,
7.0,1991-03,51.9,47.0,,291.0,
7.0,1991-04,49.8,48.7,,433.0,
7.0,1991-05,40.6,40.2,,433.0,
7.0,1991-06,43.5,48.5,,229.0,
7.0,1991-07,44.8,45.2,,201.0,
7.0,1991-08,,,,118.0,
7.0,1993-08,,,,,
7.0,1995-01,,,,,
7.0,1995-02,,,,,
7.0,1995-03,51.1,46.6,,280.0,
7.0,1995-04,57.6,49.1,,377.0,
7.0,1995-05,49.8,48.4,,366.0,
7.0,1995-06,49.7,49.7,,357.0,
7.0,1995-07,37.8,43.6,,171.0,
7.0,1995-08,40.1,27.6,,138.0,
7.0,1995-09,43.2,28.4,,155.0,
